chembl_id,name,smiles,ic50_nM,pchembl_value,mw,alogp,hba,hbd,psa,rtb,ro5_violations
CHEMBL5952854,,CN1CCN(Cc2ccc(C(=O)N[C@@H]3[C@H]4Oc5ccc(Oc6ccnc7c6CCC(=O)N7)cc5[C@@H]34)cc2C(F)(F)F)CC1,0.079,10.10,593.61,4.18,7,2,96.03,6,1
CHEMBL5180388,,CCc1cc(Nc2ncc(Br)c(Nc3ccc4nccnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CC(N(C)C)C2)CC1,0.08,10.10,708.65,5.70,11,2,111.64,10,3
CHEMBL4787483,,C=CC(=O)Nc1cccc(-c2c[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)c1,0.08,10.10,496.96,6.12,6,3,104.82,8,1
CHEMBL1336,SORAFENIB,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,0.08,,464.83,5.55,4,3,92.35,5,1
CHEMBL285063,,C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.08,10.10,369.22,4.26,4,2,66.91,4,0
CHEMBL5596876,,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2N(C)S(C)(=O)=O)n1,0.08,10.10,615.20,4.24,10,2,106.17,9,1
CHEMBL5188940,,CCc1cc(Nc2ncc(Br)c(Nc3ccc4c(c3P(C)(C)=O)OCCO4)n2)c(OC)cc1N1CCC(N2CC(N(C)C)C2)CC1,0.08,10.10,714.65,5.53,11,2,104.32,10,3
CHEMBL5972309,,CN1CCN(Cc2ccc(C(=O)N[C@@H]3[C@H]4Oc5ccc(Oc6ccnc7c6CNC(=O)N7)cc5[C@@H]34)cc2C(F)(F)F)CC1,0.084,10.08,594.59,3.93,7,3,108.06,6,1
CHEMBL5962943,,COCCOc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1Br)C(=O)NCC2,0.086,10.07,475.32,4.03,5,3,88.27,7,0
CHEMBL53428,,CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,0.08913,10.05,344.22,3.60,5,1,53.94,3,0
CHEMBL5188373,,COCC1CN(C2CCN(c3cc(OC)c(Nc4ncc(Br)c(Nc5ccc6c(c5P(C)(C)=O)OCCO6)n4)cc3C)CC2)C1,0.09,10.05,701.60,5.61,11,2,110.31,10,3
CHEMBL5418539,,COc1cc(N2CCC(N3C[C@H]4COC[C@H]4C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,0.09,10.05,707.61,5.78,11,2,117.63,8,3
CHEMBL4757145,,C=CC(=O)Nc1cc(-c2c[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)ccc1OCCN(C)C,0.09,10.05,584.08,6.06,8,3,117.29,12,2
CHEMBL5798855,,COCCOc1cnccc1-c1[nH]c2c(c1Nc1cc(F)cc(F)c1OC)C(=O)NCC2,0.097,10.01,444.44,3.42,6,3,97.50,8,0
CHEMBL5942124,,COc1c(F)cc(F)cc1Nc1c(-c2ccncc2OCC(C)(C)OC)[nH]c2c1C(=O)NCC2,0.099,10.00,472.49,4.20,6,3,97.50,8,0
CHEMBL5218754,,CCCCOc1ncnc2[nH]c(-c3ccc(N4CCN(C)CC4)cc3)c(-c3cccc(NC(=O)CC)c3)c12,0.1,,512.66,5.57,6,2,86.38,9,2
CHEMBL5425947,,CCc1cc(Nc2ncc(C(F)(F)F)c(Nc3ccc4nccnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CC(N(C)C)C2)CC1,0.1,10.00,697.75,5.96,11,2,111.64,10,3
CHEMBL4760328,,CCOc1ccccc1-c1cc2c(N[C@H](CCO)c3ccccc3)ncnc2[nH]1,0.1,10.00,388.47,4.56,5,3,83.06,8,0
CHEMBL5173517,,CC(C)c1cnc(N2CC(CS(C)(=O)=O)C2)c2cnc(Nc3ccnc(N4CC[C@@H](O)[C@@](C)(F)C4)n3)cc12,0.1,10.00,543.67,3.07,10,2,124.44,7,1
CHEMBL4742081,,COc1cc(CNCCN2CCNCC2)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,0.1,10.00,501.64,2.77,8,5,110.36,11,1
CHEMBL5783822,,C=CC(=O)N1CC(Nc2cc3c(Nc4cccc(C(C)=O)c4)ncnc3cc2OC)C1,0.1,10.00,417.47,3.39,7,2,96.45,7,0
CHEMBL420624,,Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,0.1,10.00,315.17,3.72,4,2,63.83,2,0
CHEMBL939,GEFITINIB,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,0.1,10.00,446.91,4.28,7,1,68.74,8,0
CHEMBL5201543,,CN1CCC(c2ccc(-c3ccc4c(c3)C(=O)N(C(C(=O)Nc3nccs3)c3cc(F)ccc3O)C4)cc2)CC1,0.1,10.00,556.66,5.80,6,2,85.77,6,2
CHEMBL4778248,,COc1cc(CNCCN2CCCCC2)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,0.1,10.00,500.65,4.35,7,4,98.33,11,1
CHEMBL4784258,,COc1cc(CN(C)CCN(C)C)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,0.1,10.00,474.61,3.77,7,3,89.54,11,0
CHEMBL5755058,,CC(=O)N1CCC(c2ccc3c(c2)[nH]/c(=N\C(=O)c2ccnc(-c4cnn(C)c4)c2)n3[C@H]2CC[C@@H](O)CC2)CC1,0.1,10.00,541.66,3.71,7,2,121.40,4,1
CHEMBL188762,,CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.1,10.00,371.24,4.48,4,2,66.91,4,0
CHEMBL5996490,,COc1cc(N2CCC(N3CCNCC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2NS(C)(=O)=O)n1,0.1,10.00,587.15,3.87,10,4,123.75,9,1
